membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
Mono_CD14+Mono_CD14_THBS1,subgroup,27,1,-0.0773173510668204,-0.0794639411377745,-0.07517076099586631,2,0.9063211404478755,248.5,0.0,Mono_CD14+Mono_CD14_THBS1,0.004293180141908187
Mono_CD14+Mono_CD14_THBS1,subgroup,27,3,-0.0139889500341886,-0.017337440339192697,-0.012914994699794801,3,0.9639188837822552,117.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.004422445639397896
Mono_CD14+Mono_CD14_THBS1,subgroup,28,1,-0.0700109570236523,-0.07711782862288455,-0.06714678433681795,3,0.9114773114976726,485.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0099710442860666
Mono_CD14+Mono_CD14_THBS1,subgroup,29,1,-0.0792495729133901,-0.08275328388555231,-0.0767530059590986,3,0.9015034841428492,369.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.006000277926453704
Mono_CD14+Mono_CD14_THBS1,subgroup,29,2,-0.0325699839971345,-0.0325699839971345,-0.0325699839971345,1,0.9490051867139578,67.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,29,3,-0.0072584659761203,-0.0072584659761203,-0.0072584659761203,1,0.968501457171536,51.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,30,1,-0.0711126239066737,-0.07473854051169529,-0.06712752083265375,3,0.9126175053890224,478.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.007611019679041542
Mono_CD14+Mono_CD14_THBS1,subgroup,31,1,-0.0022050424914725,-0.0022050424914725,-0.0022050424914725,1,0.9735548806561836,65.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,31,2,-0.0221095745838439,-0.0321678491330586,-0.02129752464004,3,0.95527444845142,196.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.010870324493018599
Mono_CD14+Mono_CD14_THBS1,subgroup,31,3,-0.08629237460916095,-0.09577835929809697,-0.07680638992022493,2,0.8973461169055349,138.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.018971969377872044
Mono_CD14+Mono_CD14_THBS1,subgroup,31,5,-0.058503261489729,-0.058503261489729,-0.058503261489729,1,0.9172566616579272,142.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,32,1,-0.070194719193128,-0.0940619825339956,-0.06992546114516571,3,0.9061037200504528,501.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.024136521388829893
Mono_CD14+Mono_CD14_THBS1,subgroup,33,1,0.0081488356529749,0.0081488356529749,0.0081488356529749,1,0.9839087588006312,80.0,1.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,33,2,-0.0943262040654866,-0.09452594794020644,-0.09412646019076676,2,0.8893122874492092,195.5,0.0,Mono_CD14+Mono_CD14_THBS1,0.0003994877494396809
Mono_CD14+Mono_CD14_THBS1,subgroup,33,3,-0.0429300718398725,-0.07186253463802746,-0.04204693011820465,3,0.9328298513077836,210.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.029815604519822805
Mono_CD14+Mono_CD14_THBS1,subgroup,34,1,-0.0871145474257839,-0.0871145474257839,-0.0871145474257839,1,0.8944606232853084,358.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
