pathway,K5,K6,K7,K8,K9,K10
MERGED_NK_NKT,1,1,2,2,2,3
MERGED_NONCLASSICAL_MONOCYTE,5,5,6,6,7,8
MERGED_NPC,2,2,1,1,1,1
MERGED_NSC,2,2,1,1,1,1
MERGED_OLFACTORY_ENSHEATHING_GLIA,4,4,5,5,5,7
MERGED_OLFACTORY_HORIZONTAL_BASAL,2,2,1,1,1,7
MERGED_OLFACTORY_MICROVILLAR,3,3,3,3,3,2
MERGED_OLIG,4,4,5,3,3,2
MERGED_OLIGODENDROCYTE,3,3,3,3,3,2
MERGED_OLR1_CLASSICAL_MONOCYTE,5,5,6,6,7,8
MERGED_OMD_POS_ENDOTHELIAL,4,4,5,5,5,6
MERGED_OOCYTE,2,2,1,1,1,7
MERGED_OPC,2,2,1,1,1,1
MERGED_ORG_OTHER,4,4,5,5,5,7
MERGED_ORG_PROLIFERATING,2,2,1,1,1,1
MERGED_ORG_UNDERGOING_NEURONAL_DIFFERENTIATION,1,1,2,2,2,3
MERGED_OSSIFICATION_STROMAL,2,2,1,1,1,7
MERGED_OSTEOCLAST,3,3,3,3,3,2
MERGED_OXYNTIC_ENTEROCHROMAFFIN_LIKE,3,3,3,3,3,2
MERGED_PAEP_MECOM_POSITIVE,3,3,3,3,3,2
MERGED_PANCREATIC_POLYPEPTIDE,3,3,3,3,5,2
MERGED_PANETH_LIKE,5,5,6,6,7,8
MERGED_PARIETAL,3,3,3,3,3,7
MERGED_PARIETAL_AND_CHIEF,3,3,3,3,3,2
MERGED_PCP4_POS_NEURON,5,5,6,6,7,7
MERGED_PCV_ENDOTHELIAL,4,4,5,7,8,9
MERGED_PDC,1,1,4,4,4,5
MERGED_PDE11A_FAM19A2_POSITIVE,4,4,5,5,5,6
MERGED_PDE1C_ACSM3_POSITIVE,3,2,1,1,1,1
MERGED_PERICYTE,4,4,5,5,5,6
MERGED_PHOTORECEPTOR,3,3,3,3,3,2
MERGED_PIGMENTED_CILIARY_BODY,4,4,5,5,5,6
MERGED_PLASMA,1,1,4,4,4,5
MERGED_PLASMACYTOID_DENDRITIC,5,5,4,4,6,4
MERGED_PLATELET,4,4,5,7,8,9
MERGED_PLATELET_MEGAKARYOCYTE,3,3,3,3,3,2
MERGED_PODOCYTE,4,4,5,5,5,6
