k_parent,k_child,parent_gep,child_gep,similarity,raw_value,parent_celltype,child_celltype,celltype_match
9,10,7,8,0.9998070902506784,0.00038585671760125393,Macrophage_family,Macrophage_family,True
9,10,7,9,0.9912253595026465,0.01762672869388201,Macrophage_family,DC_family,False
9,10,7,10,0.9913929775070331,0.017288553662092816,Macrophage_family,Mast,False
9,10,8,1,0.24034848550936638,2.851330771700854,DC_family,Monocyte_family,False
9,10,8,2,0.9514925802149063,0.09944678052764822,DC_family,Mono_CD16,False
9,10,8,3,0.991295542976999,0.017485124185613682,DC_family,DC_family,True
9,10,8,4,0.9901871702768553,0.019722585675091994,DC_family,Macrophage_family,False
9,10,8,5,0.9897312663418651,0.020643641683492545,DC_family,Ambiguous/Mixed,False
9,10,8,6,0.9958662270105976,0.008284681296578467,DC_family,Ambiguous/Mixed,False
9,10,8,7,0.993322664521959,0.01339945724522094,DC_family,DC_pDC,False
9,10,8,8,0.988971198220614,0.022180139812436668,DC_family,Macrophage_family,False
9,10,8,9,0.9991007951477654,0.0017992187588756442,DC_family,DC_family,True
9,10,8,10,0.9918751466788803,0.0163160796421317,DC_family,Mast,False
9,10,9,1,0.259751305511204,2.696061245971543,Mast,Monocyte_family,False
