K,GEP,Top_CellType,NES
30,13,Mast,1.365
30,14,Mac_SPP1,1.234
30,15,DC_pDC,1.006
30,16,cDC2_CD33,1.01
30,17,Mast,1.248
30,18,Mast,1.158
30,19,Mac_SPP1,1.071
30,20,Mac_SPP1,1.035
30,21,Mac_SPP1,1.026
30,22,cDC2_CD1C,1.023
30,23,DC_pDC,1.002
30,24,Mac_IL1Bint,1.007
30,25,cDC2_CD1C,1.002
30,26,Mast,1.001
30,27,cDC2_CD1C,1.002
30,28,DC_pDC,1.001
30,29,cDC2_CD1C,1.006
30,30,DC_pDC,1.0
31,1,cDC2_CD1C,2.399
31,2,DC_pDC,1.446
31,3,cDC2_CD1C,1.366
31,4,Mac_SPP1,2.567
31,5,DC_pDC,1.295
31,6,Mac_SPP1,2.424
31,7,Mast,2.181
31,8,mregDC_LAMP3,2.35
31,9,cDC2_CD1C,1.769
31,10,Mast,1.09
31,11,cDC2_CD1C,1.202
31,12,cDC1_CLEC9A,1.033
31,13,Mac_SPP1,1.035
31,14,Mac_SPP1,1.311
31,15,DC_pDC,1.008
31,16,Mast,1.397
31,17,Mac_SPP1,1.219
31,18,Mast,1.403
31,19,Mac_SPP1,1.013
31,20,Mast,1.007
31,21,mregDC_LAMP3,1.006
31,22,Mac_SPP1,1.037
31,23,DC_pDC,1.002
31,24,cDC2_CD1C,1.004
31,25,Mono_CD14,1.008
31,26,Mast,1.001
31,27,DC_pDC,1.001
31,28,Mast,1.025
31,29,cDC1_CLEC9A,1.021
31,30,Mac_CXCL9,1.005
31,31,cDC2_CD33,1.01
32,1,DC_pDC,2.611
32,2,Mast,1.912
32,3,Mac_CXCL9,1.406
32,4,mregDC_LAMP3,1.538
32,5,Mac_SPP1,1.346
32,6,Mac_SPP1,1.275
32,7,mregDC_LAMP3,1.481
32,8,Mast,1.213
32,9,cDC2_CD1C,1.937
32,10,Mast,1.069
32,11,Mac_SPP1,1.25
32,12,Mast,1.533
32,13,Mac_SPP1,1.254
32,14,cDC2_CD1C,1.079
32,15,Mast,1.303
32,16,DC_pDC,1.005
32,17,Mast,1.01
32,18,DC_pDC,1.005
32,19,Mast,1.004
32,20,Mac_SPP1,1.099
32,21,cDC2_CD1C,1.038
32,22,DC_pDC,1.003
32,23,mregDC_LAMP3,1.003
32,24,cDC1_CLEC9A,1.065
32,25,Mac_IL1B,1.0
32,26,Mono_CD14_THBS1,1.002
32,27,cDC1_CLEC9A,1.026
32,28,cDC2_CD1C,1.015
32,29,cDC2_CD33,1.001
32,30,Mono_CD14_IL1B,1.003
32,31,cDC2_CD33,1.005
32,32,Mac_SPP1,1.0
33,1,cDC2_CD1C,2.408
33,2,DC_pDC,1.71
33,3,DC_pDC,1.59
33,4,Mast,2.606
33,5,mregDC_LAMP3,2.09
33,6,Mac_SPP1,1.579
33,7,Mac_SPP1,1.549
33,8,cDC2_CD1C,1.564
33,9,Mac_SPP1,1.429
33,10,Mast,1.024
33,11,cDC1_CLEC9A,1.031
33,12,cDC2_CD1C,1.009
33,13,Mast,1.61
33,14,Mac_SPP1,1.37
33,15,mregDC_LAMP3,1.018
33,16,cDC1_CLEC9A,1.052
33,17,Mac_SPP1,1.149
33,18,Mac_CXCL9,1.032
33,19,Mac_SPP1,1.017
33,20,cDC2_CD1C,1.006
33,21,Mac_SPP1,1.115
33,22,Mast,1.005
33,23,Mac_SPP1,1.048
33,24,Mast,1.003
33,25,DC_pDC,1.002
33,26,Mast,1.055
33,27,Mac_SPP1,1.035
