k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
10	5	identity_supported	Mac_IL1B	Mono_TIL	1.3070327315026138	1.1831464901058684	0.0	0.0	0.12388624139674542	0.0	1	Mac_IL1B:NES=1.307,q=0	single significant identity (Mac_IL1B); no competitor set
10	6	non_identity_unresolved	cDC2_CD1C	Mac_CXCL9	1.2105415954511831	1.1957204137647908	0.0	0.0	0.014821181686392348		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	7	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2512067206651725	1.0232153226090426	0.0	1.0	0.2279913980561299		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	8	identity_supported	Mac_SPP1	Mac_CXCL9	1.3213336562893023	1.1723192477487927	0.0	0.0	0.14901440854050962	0.0	1	Mac_SPP1:NES=1.321,q=0	single significant identity (Mac_SPP1); no competitor set
10	9	identity_supported	mregDC_LAMP3	cDC2_CD1C	1.3149391982306529	1.1966344709086914	0.0	0.0	0.11830472732196151	0.0	1	mregDC_LAMP3:NES=1.315,q=0	single significant identity (mregDC_LAMP3); no competitor set
11	1	identity_ambiguous	Mono_CD14_ID1	Mono_CD16	2.208891854374032	2.0917303446032345	0.0	0.0	0.11716150977079742	0.9469591462620521	5	Mono_CD14_ID1:NES=2.209,q=0; Mono_CD16:NES=2.092,q=0; cDC2_CD33:NES=1.782,q=0; Mono_CD14_THBS1:NES=1.564,q=0; Mono_CD14_IL1B:NES=1.352,q=0	5 significant sets, top two near-tied (runner_up_ratio=0.947 > 0.8)
11	10	non_identity_unresolved	Mast	cDC2_CD1C	1.2411303994232081	0.9828552645835872	0.0	1.0	0.25827513483962095		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	11	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.1739694544779027	1.159133704943951	0.059000000000000004	0.0425	0.014835749533951725		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	2	non_identity_unresolved	cDC2_CD1C	cDC1_CLEC9A	1.286020985043644	1.272410466525781	0.0	0.0	0.01361051851786299		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	3	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2638161189705341	1.1322738276891833	0.0	0.0	0.13154229128135086		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	4	identity_supported	Mac_IL1B	Mono_TIL	1.327972445675179	1.1727394512126739	0.0	0.0	0.15523299446250505	0.0	1	Mac_IL1B:NES=1.328,q=0	single significant identity (Mac_IL1B); no competitor set
11	5	non_identity_unresolved	cDC2_CD1C	Mac_CXCL9	1.1947329174745778	1.181847589097635	0.0	0.0	0.012885328376942784		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	6	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2427282142716214	1.0198624900008184	0.0	1.0	0.22286572427080298		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	7	identity_supported	Mac_SPP1	Mac_CXCL9	1.3211701472849362	1.171122959125222	0.0	0.0	0.1500471881597143	0.0	1	Mac_SPP1:NES=1.321,q=0	single significant identity (Mac_SPP1); no competitor set
11	8	non_identity_unresolved	Mono_TIL	cDC2_CD1C	1.2750862614059963	1.1891607182296027	0.0	0.0	0.08592554317639367		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
11	9	non_identity_unresolved	mregDC_LAMP3	cDC2_CD1C	1.2969892928854112	1.1757547959901515	0.0	0.0	0.12123449689525967		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	1	identity_ambiguous	Mono_CD14_ID1	Mono_CD14_THBS1	1.8314129191004538	1.578703885599742	0.0	0.0	0.25270903350071183	0.8620141690248443	3	Mono_CD14_ID1:NES=1.831,q=0; Mono_CD14_THBS1:NES=1.579,q=0; Mono_CD14_IL1B:NES=1.427,q=0	3 significant sets, top two near-tied (runner_up_ratio=0.862 > 0.8)
12	10	identity_supported	mregDC_LAMP3	cDC2_CD1C	1.303356467252045	1.1855307379905868	0.0	0.0	0.11782572926145818	0.0	1	mregDC_LAMP3:NES=1.303,q=0	single significant identity (mregDC_LAMP3); no competitor set
12	11	non_identity_unresolved	Mast	cDC2_CD1C	1.2426507861546743	0.9812367646367661	0.0	1.0	0.26141402151790816		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	12	non_identity_unresolved	Mast	cDC2_CD1C	1.183492814781569	1.1723184763126182	0.083	0.056	0.011174338468950884		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	2	identity_supported	Mono_CD16	Mono_Int	1.9530621610400114	1.4895089838254267	0.0	0.0	0.46355317721458467	0.7626531369755578	3	Mono_CD16:NES=1.953,q=0; Mono_Int:NES=1.490,q=0; cDC2_CD33:NES=1.462,q=0	Mono_CD16 dominates 3 significant sets (runner_up_ratio=0.763 <= 0.8)
12	3	non_identity_unresolved	cDC2_CD1C	cDC1_CLEC9A	1.2923215519514093	1.278982066476175	0.0	0.0	0.013339485475234225		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	4	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2637917345249388	1.1331602424693745	0.0	0.0	0.13063149205556424		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	5	non_identity_unresolved	cDC2_CD1C	Mac_CXCL9	1.2071561455022501	1.195978188018031	0.0	0.0	0.011177957484219236		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	6	non_identity_unresolved	Mac_IL1B	Mac_IL1Bint	1.2983334630535788	1.1506240622177577	0.0	0.0	0.14770940083582107		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	7	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.245008316047198	1.0212883945193945	0.0	1.0	0.22371992152780362		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
12	8	identity_supported	Mac_SPP1	Mac_CXCL9	1.3152847098679958	1.1670711881306688	0.0	0.0	0.14821352173732705	0.0	1	Mac_SPP1:NES=1.315,q=0	single significant identity (Mac_SPP1); no competitor set
