,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ADAM28,0.015520711958567392,-0.005239753367188857,-0.023919354755973423,0.0030782204164270886,-0.013566425629379856,0.0002834019712966915,0.010302579319689888,0.03657901367879351,-0.0019083899293116861,-0.001018437666051052
ADAM33,0.014217804791878674,-0.005496623259153811,-0.007720880880139047,0.018310573869081435,-0.009190601632478198,0.02490909946609262,0.0010287763234859124,-0.001717700535410448,0.005153709443547623,-0.03365097526845276
ADAM8,0.003924190606132943,0.026656255138755906,-0.0102828345374538,-0.027814976391193593,0.0079410654496141,0.005633716462084369,0.016094996535344554,-0.00012220515879679943,0.008462310036341363,-0.002138275665499575
ADAM9,0.013911578362965958,0.008595498811133837,0.029516762583692194,0.008511401864224907,-0.0049147298454822125,-0.002345209452851611,-0.005996303754416314,0.004913332366611978,0.022099323518970863,0.005955777336025803
ADAMDEC1,0.010263469702551604,-0.017850618986267924,-0.015070398824226556,0.01694716717342346,-0.01654535725326916,0.011206481559785613,0.003693788410245578,0.000596040885298924,0.01637740469279836,-0.014726696170178138
ADAMTS1,0.017103520346993854,-0.00899925226895761,-0.007234681716842142,0.024523677905542548,-0.0024485891854847306,0.02834225310923344,-0.003492600290440805,-0.0014798068867888038,0.004129433002701071,0.00036595739317126175
ADAMTS10,0.0272299828198608,-0.013728835551061117,-0.012754314228643046,0.0045792172557012276,-0.0026080678183167923,0.015456955313838965,0.0043071602749684135,-0.002468411055411751,0.007196461679822853,-0.0028078903278976413
ADAMTS12,0.02324304944881683,-0.021942557993549595,-0.013114210130433386,0.010070080406412637,0.006481394002765724,0.008158141954839306,-0.011417311003340836,0.0008753160431842071,-0.004070395001564894,0.002129801717322552
ADAMTS14,0.021476362502978283,-0.022157416407856526,-0.01486042203636406,0.01156269847385811,-0.012091537664830506,0.0008285575782703392,0.000718591898687834,-8.407622536726154e-05,0.006035687226786286,-0.010300442785499842
ADAMTS15,0.01807375390664477,-0.005837307862086206,0.012819148352534549,0.0035942212836572686,0.0060863888446421625,0.02334155946385889,0.004401749961466611,-0.010448741502843036,-0.02378032532817691,-0.0074157807336738815
ADAMTS16,0.014130777892467724,-0.01995554382086132,-3.703260627980856e-05,-0.011118558633164922,0.03694825266236414,-0.0009584021675139773,-0.009856842212285404,-0.00031711081008149126,-0.0004744821322031509,-0.0043626995558732895
ADAMTS17,0.01460600723239738,0.021527329856210815,0.006686061608713731,0.004456379207102125,0.004364892974138916,-0.011946899308339056,0.007611809744729609,-0.024129198244578612,-0.003219770095462975,-0.016275654402758973
ADAMTS18,0.014204836106595502,0.001563636036298949,0.004010422671001503,0.009814449531815353,0.027274079168777072,0.008057547798487484,-0.001166803527202266,-0.0046678392208815605,-0.031367797057625116,0.01745901567248459
ADAMTS2,0.017182394669191043,-0.018363188974691847,-0.015048712561561291,0.020387787303573494,-0.010986697419837106,0.007699287932955247,0.0013887098011332063,-0.000587619656793065,0.009388403673361499,-0.0172238295962133
ADAMTS3,0.023065442507883283,-0.020464603173381234,-0.0119693637641085,0.007491387238120856,0.0039121573971763,-0.004913340978673617,-0.01209983567267552,-0.0003110825765874773,-0.0012187311928263831,0.005802241500039301
ADAMTS4,0.01245404205089838,-0.014826990152222117,-0.011464709259360838,0.012206147203331146,0.014475552785879229,0.013951004598324272,-0.006602019256005583,-0.01425755147171252,-0.017340772448225125,0.02526919066311971
ADAMTS5,0.01981332632188355,-0.006192397644192589,-0.004422526750689695,0.007342548583502451,0.01681298950998789,0.02612805574409252,-0.011051462280444077,-0.0026858298680887786,-0.002522258397520818,-0.01469478663751361
ADAMTS6,0.013507152504604924,0.01883192979843926,-0.007383493141449311,0.009192040747053263,0.0075364200771311516,0.017548297721814834,-0.010268469726737886,0.015600899457600775,-0.02065239800713078,-0.00888923048745014
ADAMTS7,0.018586583854757872,-0.017134136895524996,-0.014616526349204819,0.0029897376525274545,0.006031962786960848,-0.0075147690436197295,-0.009239895086620441,0.0048845713284676765,-0.005185630794311777,0.005630050421877593
ADAMTS8,0.023266773494407485,-0.02262583836666577,-0.012738857270147466,0.0037113961489200027,0.005113329677035408,-0.002946307232810094,-0.008527636907617517,-0.003187438469013524,-0.00041641806219656387,-0.009369146028482796
ADAMTS9,0.017733943161403566,-0.00795909479213191,-0.003133805118748306,0.008437329321840345,0.013273565506711445,0.02964098156546243,-0.0038792719184916977,-0.006063622026170397,-0.024111991349786952,0.03159099561365756
ADAMTSL1,0.02175706994739135,-0.020133466417803413,0.005856771876335587,-0.00881462455957066,-0.022638522371719597,0.006384759218837828,-0.002684303497649315,0.0002362474452893399,-0.0022139614649510095,-0.009118240285979254
