sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138110,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9515832936947742,20,,,,,,,,ambiguous
GSM4138143,20,4,Macrophage_family,family,Macrophage_family,family,,0.874961184052432,20,0.7083670934592786,0.16659409059315333,0.8558542938721939,0.7944434318007446,0.9172651559436432,0.019106890180238034,-0.04230397189121127,no_change
GSM4138155,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.8046432513920355,20,,,,,,,,ambiguous
GSM4138139,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.935707459182466,20,,,,,,,,ambiguous
GSM4138155,20,13,Mast,specific,Mast,specific,Mast,0.9304048836734372,19,0.9304048836734372,0.0,,,,,,no_change
GSM4138157,20,1,Monocyte_family,family,Monocyte_family,family,,0.9729340226616056,19,0.8918626784315427,0.0810713442300629,,,,,,no_baseline
GSM4138145,20,4,Macrophage_family,family,Macrophage_family,family,,0.9254137103666068,19,0.742389032905532,0.18302467746107476,0.8728129178890836,0.8337017661727854,0.9119240696053816,0.05260079247752325,0.013489640761225163,no_change
GSM4138116,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9766309638636366,19,0.9776052397830116,-0.000974275919375045,,,,,,no_change
GSM4138157,20,5,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.9269611126223236,19,,,,,,,,ambiguous
GSM4138143,20,3,Mono_CD16,specific,Mono_CD16,specific,,0.9814947505973384,19,,,,,,,,no_baseline
GSM4138135,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9277395526018996,19,,,,,,,,ambiguous
GSM4138133,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.8634277050691901,19,0.697361961507952,0.16606574356123804,0.8368468126408014,0.7639572524881177,0.9173078879796016,0.02658089242838868,-0.05388018291041152,GEP_less_pure_than_family
GSM4138113,20,3,Mono_CD16,specific,Mono_CD16,specific,,0.9104796591226773,19,,,,,,,,no_baseline
GSM4138168,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9490367350406824,18,,,,,,,,ambiguous
GSM4138131,20,13,Mast,specific,Mast,specific,Mast,0.9666702146494964,18,0.9666702146494964,0.0,,,,,,no_change
GSM4138137,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.9538365979708816,18,0.7523077319712033,0.20152886599967834,0.8754546795091153,0.8056970934916537,0.9452122655265768,0.07838191846176634,0.008624332444304827,no_change
GSM4138133,20,1,Monocyte_family,family,Monocyte_family,family,,0.9529137870200962,18,0.9775607947159944,-0.024647007695898226,,,,,,no_baseline
GSM4138115,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9341137821327924,18,,,,,,,,ambiguous
GSM4138161,20,10,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.8615813393638037,17,,,,,,,,ambiguous
